gameid,gamename,nratings,gamerank
28720.0,Brass: Lancashire,15098.0,22.0
37904.0,Formula D,15080.0,463.0
1294.0,Clue,15075.0,8101.0
24480.0,The Pillars of the Earth,15033.0,255.0
199561.0,Sagrada,14897.0,125.0
15512.0,Diamant,14717.0,652.0
161970.0,Alchemists,14710.0,88.0
62871.0,Zombie Dice,14429.0,1844.0
9674.0,Ingenious,14405.0,363.0
258.0,Fluxx,14347.0,7383.0
124708.0,Mice and Mystics,14342.0,250.0
118.0,Modern Art,14292.0,215.0
113924.0,Zombicide,14238.0,390.0
760.0,Battle Line,14118.0,197.0
555.0,The Princes of Florence,14057.0,138.0
113294.0,Escape: The Curse of the Temple,14030.0,462.0
28023.0,Jamaica,13915.0,443.0
172225.0,Exploding Kittens,13908.0,3589.0
192291.0,Sushi Go Party!,13804.0,160.0
2471.0,Zombies!!!,13647.0,5121.0
38453.0,Space Alert,13644.0,178.0
21763.0,Mr. Jack,13623.0,456.0
2511.0,Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,13562.0,68.0
25669.0,Qwirkle,13503.0,708.0
3.0,Samurai,13502.0,188.0
92828.0,Dixit: Odyssey,13447.0,184.0
9217.0,Saint Petersburg,13446.0,260.0
102652.0,Sentinels of the Multiverse,13320.0,313.0
77130.0,Sid Meier's Civilization: The Board Game,13274.0,203.0
43570.0,Friday,13254.0,340.0
188.0,Go,13234.0,137.0
127023.0,Kemet,13228.0,80.0
43111.0,Chaos in the Old World,13227.0,103.0
48726.0,Alien Frontiers,13156.0,185.0
823.0,Lord of the Rings,13140.0,771.0
29368.0,Last Night on Earth: The Zombie Game,13052.0,609.0
34219.0,Biblios,13014.0,321.0
63888.0,Innovation,12988.0,304.0
27588.0,Zooloretto,12967.0,660.0
198773.0,Codenames: Pictures,12705.0,253.0
43443.0,Castle Panic,12701.0,882.0
209685.0,Century: Spice Road,12688.0,225.0
102680.0,Trajan,12608.0,73.0
91536.0,Quarriors!,12500.0,748.0
438.0,Scotland Yard,12395.0,1153.0
144733.0,Russian Railroads,12188.0,71.0
278.0,Catan Card Game,12138.0,827.0
147151.0,Concept,12104.0,638.0
19857.0,Glory to Rome,12102.0,163.0
1917.0,Stratego,12085.0,2400.0
215.0,Tichu,12057.0,133.0
45315.0,Dungeon Lords,12034.0,206.0
171131.0,Captain Sonar,12021.0,113.0
160499.0,King of New York,11996.0,504.0
12692.0,Gloom,11985.0,1558.0
21241.0,Neuroshima Hex! 3.0,11968.0,230.0
20100.0,Wits & Wagers,11949.0,562.0
83330.0,Mansions of Madness,11948.0,300.0
20551.0,Shogun,11937.0,148.0
59959.0,Letters from Whitechapel,11814.0,211.0
503.0,Through the Desert,11804.0,447.0
163967.0,Tiny Epic Galaxies,11721.0,241.0
127398.0,Legends of Andor,11646.0,333.0
27627.0,Talisman (Revised 4th Edition),11537.0,1315.0
25292.0,Merchants & Marauders,11531.0,217.0
188834.0,Secret Hitler,11460.0,181.0
131835.0,Boss Monster: The Dungeon Building Card Game,11385.0,1727.0
177736.0,A Feast for Odin,11296.0,28.0
25554.0,Notre Dame,11281.0,240.0
156129.0,Deception: Murder in Hong Kong,11264.0,165.0
162886.0,Spirit Island,11250.0,15.0
71721.0,Space Hulk: Death Angel – The Card Game,11234.0,567.0
133038.0,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,11227.0,332.0
209010.0,Mechs vs. Minions,11196.0,32.0
45.0,Liar's Dice,11177.0,611.0
483.0,Diplomacy,11172.0,549.0
125618.0,Libertalia,11077.0,344.0
140620.0,Lewis & Clark,11054.0,159.0
119890.0,Agricola: All Creatures Big and Small,11028.0,212.0
97207.0,Dungeon Petz,11002.0,164.0
17226.0,Descent: Journeys in the Dark,10906.0,306.0
37380.0,Roll Through the Ages: The Bronze Age,10882.0,625.0
41.0,Can't Stop,10847.0,676.0
155703.0,Evolution,10828.0,369.0
205896.0,Rising Sun,10741.0,55.0
66188.0,Fresco,10607.0,274.0
34119.0,Tales of the Arabian Nights,10551.0,361.0
69789.0,Ascension: Deckbuilding Game,10527.0,551.0
9216.0,Goa,10481.0,128.0
811.0,Rummikub,10443.0,1601.0
17133.0,Railways of the World,10439.0,104.0
155362.0,Ca$h 'n Guns (Second Edition),10422.0,577.0
209778.0,Magic Maze,10359.0,367.0
2397.0,Backgammon,10301.0,1188.0
4390.0,Carcassonne: Hunters and Gatherers,10286.0,434.0
218603.0,Photosynthesis,10257.0,339.0
160477.0,Onitama,10173.0,205.0
43015.0,Hansa Teutonica,10143.0,122.0
172818.0,Above and Below,10137.0,192.0
126042.0,Nations,10064.0,110.0
46213.0,Telestrations,9981.0,231.0
161417.0,Red7,9929.0,591.0
171668.0,The Grizzled,9922.0,319.0
31627.0,Ticket to Ride: Nordic Countries,9896.0,130.0
92415.0,Skull,9871.0,397.0
2243.0,Yahtzee,9863.0,17046.0
115746.0,War of the Ring (Second Edition),9853.0,12.0
6472.0,A Game of Thrones (First Edition),9807.0,364.0
8098.0,Jungle Speed,9804.0,1190.0
175914.0,Food Chain Magnate,9777.0,29.0
31594.0,In the Year of the Dragon,9762.0,244.0
93260.0,Summoner Wars: Master Set,9749.0,173.0
699.0,HeroQuest,9706.0,565.0
176189.0,Zombicide: Black Plague,9656.0,135.0
98.0,Axis & Allies,9650.0,1283.0
53953.0,Thunderstone,9641.0,594.0
42215.0,Tobago,9528.0,430.0
156009.0,Port Royal,9517.0,421.0
22545.0,Age of Empires III: The Age of Discovery,9497.0,166.0
9609.0,War of the Ring (First Edition),9478.0,90.0
1198.0,SET,9475.0,1307.0
521.0,Crokinole,9456.0,79.0
2452.0,Jenga,9447.0,11108.0
150312.0,Welcome to the Dungeon,9433.0,915.0
90137.0,Blood Bowl: Team Manager – The Card Game,9430.0,266.0
220308.0,Gaia Project,9426.0,7.0
19237.0,Ca$h 'n Gun$,9382.0,994.0
63268.0,Spot it!,9335.0,959.0
146652.0,Legendary Encounters: An Alien Deck Building Game,9250.0,92.0
138161.0,Firefly: The Game,9118.0,295.0
216132.0,Clans of Caledonia,9071.0,43.0
118048.0,Targi,9062.0,141.0
180263.0,The 7th Continent,9050.0,17.0
1111.0,Taboo,8976.0,1749.0
27833.0,Steam,8926.0,134.0
25417.0,BattleLore,8925.0,287.0
244992.0,The Mind,8909.0,539.0
172287.0,Champions of Midgard,8904.0,93.0
136888.0,Bruges,8886.0,218.0
70149.0,Ora et Labora,8876.0,105.0
180974.0,Potion Explosion,8870.0,407.0
2921.0,The Game of Life,8844.0,17162.0
194594.0,Dice Forge,8818.0,312.0
170042.0,Raiders of the North Sea,8772.0,85.0
176396.0,Quadropolis,8723.0,284.0
20963.0,Fury of Dracula (Second Edition),8699.0,449.0
1219.0,Labyrinth,8692.0,1495.0
150.0,PitchCar,8690.0,343.0
33160.0,Endeavor,8689.0,235.0
97786.0,Small World Underground,8671.0,330.0
172386.0,Mombasa,8629.0,65.0
68425.0,Eminent Domain,8627.0,472.0
30869.0,Thebes,8558.0,429.0
25821.0,The Werewolves of Miller's Hollow,8538.0,846.0
191862.0,Imhotep,8513.0,366.0
155821.0,Inis,8498.0,108.0
182874.0,Grand Austria Hotel,8433.0,101.0
39683.0,At the Gates of Loyang,8385.0,262.0
128621.0,Viticulture,8365.0,140.0
