gameid,gamename,nratings,gamerank
215,Tichu,12057,133
45315,Dungeon Lords,12034,206
171131,Captain Sonar,12021,113
160499,King of New York,11996,504
12692,Gloom,11985,1558
,,,
21241,Neuroshima Hex! 3.0,11968,230
20100,Wits & Wagers,11949,562
83330,Mansions of Madness,11948,300
20551,Shogun,11937,148
59959,Letters from Whitechapel,11814,211
503,Through the Desert,11804,447
163967,Tiny Epic Galaxies,11721,241
127398,Legends of Andor,11646,333
27627,Talisman (Revised 4th Edition),11537,1315
25292,Merchants & Marauders,11531,217
188834,Secret Hitler,11460,181
131835,Boss Monster: The Dungeon Building Card Game,11385,1727
177736,A Feast for Odin,11296,28
25554,Notre Dame,11281,240
156129,Deception: Murder in Hong Kong,11264,165
162886,Spirit Island,11250,15
71721,Space Hulk: Death Angel – The Card Game,11234,567
133038,Pathfinder Adventure Card Game: Rise of the Runelords – Base Set,11227,332
209010,Mechs vs. Minions,11196,32
45,Liar's Dice,11177,611
483,Diplomacy,11172,549
125618,Libertalia,11077,344
140620,Lewis & Clark,11054,159
119890,Agricola: All Creatures Big and Small,11028,212
97207,Dungeon Petz,11002,164
17226,Descent: Journeys in the Dark,10906,306
37380,Roll Through the Ages: The Bronze Age,10882,625
41,Can't Stop,10847,676
155703,Evolution,10828,369
205896,Rising Sun,10741,55
66188,Fresco,10607,274
34119,Tales of the Arabian Nights,10551,361
69789,Ascension: Deckbuilding Game,10527,551
9216,Goa,10481,128
811,Rummikub,10443,1601
17133,Railways of the World,10439,104
155362,Ca$h 'n Guns (Second Edition),10422,577
209778,Magic Maze,10359,367
2397,Backgammon,10301,1188
4390,Carcassonne: Hunters and Gatherers,10286,434
218603,Photosynthesis,10257,339
160477,Onitama,10173,205
43015,Hansa Teutonica,10143,122
172818,Above and Below,10137,192
126042,Nations,10064,110
46213,Telestrations,9981,231
161417,Red7,9929,591
171668,The Grizzled,9922,319
31627,Ticket to Ride: Nordic Countries,9896,130
92415,Skull,9871,397
2243,Yahtzee,9863,17046
115746,War of the Ring (Second Edition),9853,12
,,,
6472,A Game of Thrones (First Edition),9807,364
8098,Jungle Speed,9804,1190
175914,Food Chain Magnate,9777,29
31594,In the Year of the Dragon,9762,244
93260,Summoner Wars: Master Set,9749,173
699,HeroQuest,9706,565
176189,Zombicide: Black Plague,9656,135
98,Axis & Allies,9650,1283
